Mes,Nom mes,Any,Motiu de la denúncia,Àmbit territorial,No ratificades,Ratificades,Total
1,gener,2011,Sense especificar,Catalunya,,2,2
1,gener,2011,Pèrdues i diversos,Catalunya,130,38,168
1,gener,2011,Furt,Catalunya,314,89,403
1,gener,2011,Robatori amb violència i/o intimidació,Catalunya,49,8,57
1,gener,2011,Robatori amb força interior vehicle,Catalunya,46,21,67
1,gener,2011,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,22,11,33
1,gener,2011,Danys,Catalunya,111,49,160
1,gener,2011,Falta de furt,Catalunya,,18,18
1,gener,2011,Falta de danys,Catalunya,,2,2
2,febrer,2011,Pèrdues i diversos,Catalunya,104,54,158
2,febrer,2011,Furt,Catalunya,260,94,354
2,febrer,2011,Robatori amb violència i/o intimidació,Catalunya,49,10,59
2,febrer,2011,Robatori amb força interior vehicle,Catalunya,39,16,55
2,febrer,2011,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,25,6,31
2,febrer,2011,Danys,Catalunya,119,29,148
2,febrer,2011,Falta de furt,Catalunya,,22,22
2,febrer,2011,Falta de danys,Catalunya,,3,3
3,març,2011,Sense especificar,Catalunya,,2,2
3,març,2011,Pèrdues i diversos,Catalunya,109,41,150
3,març,2011,Furt,Catalunya,313,79,392
3,març,2011,Robatori amb violència i/o intimidació,Catalunya,45,6,51
3,març,2011,Robatori amb força interior vehicle,Catalunya,40,20,60
3,març,2011,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,15,7,22
3,març,2011,Danys,Catalunya,137,37,174
3,març,2011,Falta de furt,Catalunya,,21,21
3,març,2011,Falta de danys,Catalunya,,1,1
4,abril,2011,Sense especificar,Catalunya,,1,1
4,abril,2011,Pèrdues i diversos,Catalunya,114,36,150
4,abril,2011,Furt,Catalunya,276,86,362
4,abril,2011,Robatori amb violència i/o intimidació,Catalunya,37,4,41
4,abril,2011,Robatori amb força interior vehicle,Catalunya,28,16,44
4,abril,2011,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,26,4,30
4,abril,2011,Danys,Catalunya,123,25,148
4,abril,2011,Falta de furt,Catalunya,,14,14
4,abril,2011,Falta de danys,Catalunya,,4,4
5,maig,2011,Sense especificar,Catalunya,,4,4
5,maig,2011,Pèrdues i diversos,Catalunya,115,58,173
5,maig,2011,Furt,Catalunya,334,101,435
5,maig,2011,Robatori amb violència i/o intimidació,Catalunya,48,13,61
5,maig,2011,Robatori amb força interior vehicle,Catalunya,47,17,64
5,maig,2011,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,24,7,31
5,maig,2011,Danys,Catalunya,105,39,144
5,maig,2011,Falta de furt,Catalunya,,41,41
5,maig,2011,Falta de danys,Catalunya,,2,2
6,juny,2011,Sense especificar,Catalunya,,4,4
6,juny,2011,Pèrdues i diversos,Catalunya,110,47,157
6,juny,2011,Furt,Catalunya,293,95,388
6,juny,2011,Robatori amb violència i/o intimidació,Catalunya,41,11,52
6,juny,2011,Robatori amb força interior vehicle,Catalunya,37,23,60
6,juny,2011,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,9,6,15
6,juny,2011,Danys,Catalunya,123,32,155
6,juny,2011,Falta de furt,Catalunya,,37,37
6,juny,2011,Falta de danys,Catalunya,,2,2
7,juliol,2011,Sense especificar,Catalunya,,2,2
7,juliol,2011,Pèrdues i diversos,Catalunya,102,41,143
7,juliol,2011,Furt,Catalunya,323,106,429
7,juliol,2011,Furt interior vehicle,Catalunya,,1,1
7,juliol,2011,Robatori amb violència i/o intimidació,Catalunya,32,13,45
7,juliol,2011,Robatori amb força interior vehicle,Catalunya,30,18,48
7,juliol,2011,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,24,4,28
7,juliol,2011,Danys,Catalunya,106,28,134
7,juliol,2011,Falta de furt,Catalunya,,44,44
7,juliol,2011,Falta de danys,Catalunya,,2,2
8,agost,2011,Sense especificar,Catalunya,,2,2
8,agost,2011,Pèrdues i diversos,Catalunya,87,32,119
8,agost,2011,Furt,Catalunya,234,76,310
8,agost,2011,Robatori amb violència i/o intimidació,Catalunya,34,17,51
8,agost,2011,Robatori amb força interior vehicle,Catalunya,26,18,44
8,agost,2011,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,10,3,13
8,agost,2011,Danys,Catalunya,78,24,102
8,agost,2011,Falta de furt,Catalunya,,19,19
8,agost,2011,Falta de danys,Catalunya,,1,1
9,setembre,2011,Sense especificar,Catalunya,,1,1
9,setembre,2011,Pèrdues i diversos,Catalunya,100,27,127
9,setembre,2011,Furt,Catalunya,280,76,356
9,setembre,2011,Furt interior vehicle,Catalunya,,1,1
9,setembre,2011,Robatori amb violència i/o intimidació,Catalunya,54,16,70
9,setembre,2011,Robatori amb força interior vehicle,Catalunya,31,11,42
9,setembre,2011,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,13,10,23
9,setembre,2011,Danys,Catalunya,92,30,122
9,setembre,2011,Falta de furt,Catalunya,,25,25
9,setembre,2011,Falta de danys,Catalunya,,2,2
10,octubre,2011,Pèrdues i diversos,Catalunya,109,31,140
10,octubre,2011,Furt,Catalunya,308,74,382
10,octubre,2011,Furt interior vehicle,Catalunya,,1,1
10,octubre,2011,Robatori amb violència i/o intimidació,Catalunya,38,11,49
10,octubre,2011,Robatori amb força interior vehicle,Catalunya,35,14,49
10,octubre,2011,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,21,4,25
10,octubre,2011,Danys,Catalunya,91,23,114
10,octubre,2011,Falta de furt,Catalunya,,31,31
10,octubre,2011,Falta de danys,Catalunya,,1,1
11,novembre,2011,Sense especificar,Catalunya,,4,4
11,novembre,2011,Pèrdues i diversos,Catalunya,105,37,142
11,novembre,2011,Furt,Catalunya,258,81,339
11,novembre,2011,Robatori amb violència i/o intimidació,Catalunya,36,9,45
11,novembre,2011,Robatori amb força interior vehicle,Catalunya,40,13,53
11,novembre,2011,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,18,4,22
11,novembre,2011,Danys,Catalunya,113,22,135
11,novembre,2011,Falta de furt,Catalunya,,12,12
11,novembre,2011,Falta de danys,Catalunya,,4,4
12,desembre,2011,Sense especificar,Catalunya,,1,1
12,desembre,2011,Pèrdues i diversos,Catalunya,81,43,124
12,desembre,2011,Furt,Catalunya,254,72,326
12,desembre,2011,Robatori amb violència i/o intimidació,Catalunya,34,5,39
12,desembre,2011,Robatori amb força interior vehicle,Catalunya,30,11,41
12,desembre,2011,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,17,3,20
12,desembre,2011,Danys,Catalunya,70,18,88
12,desembre,2011,Falta de furt,Catalunya,,9,9
12,desembre,2011,Falta de danys,Catalunya,,3,3
1,gener,2012,Sense especificar,Catalunya,,3,3
1,gener,2012,Pèrdues i diversos,Catalunya,110,26,136
1,gener,2012,Furt,Catalunya,335,78,413
1,gener,2012,Robatori amb violència i/o intimidació,Catalunya,43,10,53
1,gener,2012,Robatori amb força interior vehicle,Catalunya,37,11,48
1,gener,2012,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,26,8,34
1,gener,2012,Danys,Catalunya,108,31,139
1,gener,2012,Falta de furt,Catalunya,,16,16
1,gener,2012,Falta de danys,Catalunya,,6,6
2,febrer,2012,Sense especificar,Catalunya,,3,3
2,febrer,2012,Pèrdues i diversos,Catalunya,104,39,143
2,febrer,2012,Furt,Catalunya,248,89,337
2,febrer,2012,Furt interior vehicle,Catalunya,,1,1
2,febrer,2012,Robatori amb violència i/o intimidació,Catalunya,37,9,46
2,febrer,2012,Robatori amb força interior vehicle,Catalunya,28,18,46
2,febrer,2012,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,8,3,11
2,febrer,2012,Danys,Catalunya,98,33,131
2,febrer,2012,Falta de furt,Catalunya,,16,16
2,febrer,2012,Falta de danys,Catalunya,,5,5
3,març,2012,Sense especificar,Catalunya,,1,1
3,març,2012,Pèrdues i diversos,Catalunya,119,39,158
3,març,2012,Furt,Catalunya,304,90,394
3,març,2012,Robatori amb violència i/o intimidació,Catalunya,39,15,54
3,març,2012,Robatori amb força interior vehicle,Catalunya,24,15,39
3,març,2012,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,18,7,25
3,març,2012,Danys,Catalunya,112,30,142
3,març,2012,Falta de furt,Catalunya,,25,25
3,març,2012,Falta de danys,Catalunya,,5,5
4,abril,2012,Sense especificar,Catalunya,,4,4
4,abril,2012,Pèrdues i diversos,Catalunya,116,28,144
4,abril,2012,Furt,Catalunya,259,84,343
4,abril,2012,Robatori amb violència i/o intimidació,Catalunya,35,5,40
4,abril,2012,Robatori amb força interior vehicle,Catalunya,28,16,44
4,abril,2012,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,13,6,19
4,abril,2012,Danys,Catalunya,90,29,119
4,abril,2012,Falta de furt,Catalunya,,20,20
4,abril,2012,Falta de danys,Catalunya,,4,4
5,maig,2012,Sense especificar,Catalunya,,4,4
5,maig,2012,Pèrdues i diversos,Catalunya,122,58,180
5,maig,2012,Furt,Catalunya,326,88,414
5,maig,2012,Robatori amb violència i/o intimidació,Catalunya,37,13,50
5,maig,2012,Robatori amb força interior vehicle,Catalunya,56,14,70
5,maig,2012,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,29,5,34
5,maig,2012,Danys,Catalunya,117,31,148
5,maig,2012,Falta de furt,Catalunya,,34,34
6,juny,2012,Pèrdues i diversos,Catalunya,133,47,180
6,juny,2012,Furt,Catalunya,313,118,431
6,juny,2012,Robatori amb violència i/o intimidació,Catalunya,34,11,45
6,juny,2012,Robatori amb força interior vehicle,Catalunya,33,11,44
6,juny,2012,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,11,12,23
6,juny,2012,Danys,Catalunya,106,31,137
6,juny,2012,Falta de furt,Catalunya,,21,21
6,juny,2012,Falta de danys,Catalunya,,3,3
7,juliol,2012,Sense especificar,Catalunya,,2,2
7,juliol,2012,Pèrdues i diversos,Catalunya,149,50,199
7,juliol,2012,Furt,Catalunya,362,123,485
7,juliol,2012,Robatori amb violència i/o intimidació,Catalunya,52,14,66
7,juliol,2012,Robatori amb força interior vehicle,Catalunya,37,17,54
7,juliol,2012,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,19,7,26
7,juliol,2012,Danys,Catalunya,110,30,140
7,juliol,2012,Falta de furt,Catalunya,,33,33
7,juliol,2012,Falta de danys,Catalunya,,2,2
8,agost,2012,Sense especificar,Catalunya,,3,3
8,agost,2012,Pèrdues i diversos,Catalunya,109,35,144
8,agost,2012,Furt,Catalunya,261,99,360
8,agost,2012,Furt interior vehicle,Catalunya,,1,1
8,agost,2012,Robatori amb violència i/o intimidació,Catalunya,31,11,42
8,agost,2012,Robatori amb força interior vehicle,Catalunya,30,9,39
8,agost,2012,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,4,8,12
8,agost,2012,Danys,Catalunya,71,10,81
8,agost,2012,Falta de furt,Catalunya,,17,17
8,agost,2012,Falta de danys,Catalunya,,2,2
9,setembre,2012,Sense especificar,Catalunya,,3,3
9,setembre,2012,Pèrdues i diversos,Catalunya,129,39,168
9,setembre,2012,Furt,Catalunya,312,125,437
9,setembre,2012,Robatori amb violència i/o intimidació,Catalunya,39,8,47
9,setembre,2012,Robatori amb força interior vehicle,Catalunya,29,13,42
9,setembre,2012,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,16,10,26
9,setembre,2012,Danys,Catalunya,105,23,128
9,setembre,2012,Falta de furt,Catalunya,,25,25
9,setembre,2012,Falta de danys,Catalunya,,1,1
10,octubre,2012,Sense especificar,Catalunya,,2,2
10,octubre,2012,Pèrdues i diversos,Catalunya,160,63,223
10,octubre,2012,Furt,Catalunya,384,98,482
10,octubre,2012,Robatori amb violència i/o intimidació,Catalunya,32,8,40
10,octubre,2012,Robatori amb força interior vehicle,Catalunya,37,13,50
10,octubre,2012,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,24,6,30
10,octubre,2012,Danys,Catalunya,96,36,132
10,octubre,2012,Falta de furt,Catalunya,,25,25
10,octubre,2012,Falta de danys,Catalunya,,7,7
11,novembre,2012,Sense especificar,Catalunya,,3,3
11,novembre,2012,Pèrdues i diversos,Catalunya,125,43,168
11,novembre,2012,Furt,Catalunya,313,97,410
11,novembre,2012,Robatori amb violència i/o intimidació,Catalunya,47,9,56
11,novembre,2012,Robatori amb força interior vehicle,Catalunya,40,11,51
11,novembre,2012,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,15,11,26
11,novembre,2012,Danys,Catalunya,89,28,117
11,novembre,2012,Falta de furt,Catalunya,,17,17
11,novembre,2012,Falta de danys,Catalunya,,3,3
12,desembre,2012,Pèrdues i diversos,Catalunya,132,31,163
12,desembre,2012,Furt,Catalunya,299,76,375
12,desembre,2012,Robatori amb violència i/o intimidació,Catalunya,37,10,47
12,desembre,2012,Robatori amb força interior vehicle,Catalunya,29,15,44
12,desembre,2012,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,21,12,33
12,desembre,2012,Danys,Catalunya,76,31,107
12,desembre,2012,Falta de furt,Catalunya,,16,16
12,desembre,2012,Falta de danys,Catalunya,,2,2
1,gener,2013,Sense especificar,Catalunya,,3,3
1,gener,2013,Pèrdues i diversos,Catalunya,151,40,191
1,gener,2013,Furt,Catalunya,293,104,397
1,gener,2013,Robatori amb violència i/o intimidació,Catalunya,42,10,52
1,gener,2013,Robatori amb força interior vehicle,Catalunya,27,12,39
1,gener,2013,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,13,2,15
1,gener,2013,Danys,Catalunya,84,28,112
1,gener,2013,Falta de furt,Catalunya,,16,16
1,gener,2013,Falta de danys,Catalunya,,2,2
2,febrer,2013,Sense especificar,Catalunya,,3,3
2,febrer,2013,Pèrdues i diversos,Catalunya,132,45,177
2,febrer,2013,Furt,Catalunya,328,87,415
2,febrer,2013,Robatori amb violència i/o intimidació,Catalunya,35,10,45
2,febrer,2013,Robatori amb força interior vehicle,Catalunya,30,13,43
2,febrer,2013,Robatori i furt d'ús de vehicle sense intimidació,Catalunya,16,7,23
2,febrer,2013,Danys,Catalunya,88,21,109
2,febrer,2013,Falta de furt,Catalunya,,12,12
2,febrer,2013,Falta de danys,Catalunya,,1,1
3,març,2013,Sense especificar,Catalunya,,1,1
3,març,2013,Pèrdues i diversos,Catalunya,126,31,157
3,març,2013,Furt,Catalunya,305,92,397
